city,locality,beds,locality_bed_market_rate
Bangalore,Block 2nd Koramangala,2,33.0
Bangalore,Block 3rd Jayanagar East,1,26.0
Bangalore,Block 3rd Jayanagar East,2,42.0
Bangalore,Block 3rd Koramangala,4,63.0
Bangalore,Block 3rd Narayana Nagar,2,20.0
Bangalore,Block 4th Jayanagar,1,18.0
Bangalore,Block 4th Jayanagar,2,41.0
Bangalore,Block 4th Jayanagar,3,30.5
Bangalore,Block 5th Jayanagar,2,50.0
Bangalore,Block 5th Jayanagar,4,67.0
Bangalore,Block 5th Koramangala,3,31.0
Bangalore,Block 6th Koramangala,1,42.0
Bangalore,Block 6th Koramangala,2,32.0
Bangalore,Block 7th Jayanagar,3,30.0
Bangalore,Block 7th Jayanagar,4,46.0
Bangalore,Bommanahalli,1,26.5
Bangalore,Bommanahalli,3,46.0
Bangalore,Bommasandra,1,13.0
Bangalore,Bommasandra,3,25.0
Bangalore,Bommasandra,4,18.0
Bangalore,Bommasandra,5,17.0
Bangalore,Bommasandra Jigani Link Road,2,29.0
Bangalore,Borewell Road,1,48.0
Bangalore,Brigade Metropolis,3,38.0
Bangalore,Brigade Metropolis,4,57.0
Bangalore,Brindavan Nagar Mathikere,2,25.0
Bangalore,Brookefield,1,136.0
Bangalore,Brookefield,2,38.0
Bangalore,Brookefield,3,41.0
Bangalore,Budigere,2,29.0
Bangalore,Budigere,3,26.0
Bangalore,Budigere,4,28.0
Bangalore,Budigere Road,1,15.0
Bangalore,Byatarayanapura New Extension,1,13.0
Bangalore,Byrappa Layout RMV 2nd Stage,2,17.0
Bangalore,Byrathi,1,14.0
Bangalore,Byrathi,2,13.0
Bangalore,Byrathi,3,13.5
Bangalore,Byrathi,4,13.0
Bangalore,C V Raman Nagar,1,14.5
Bangalore,C V Raman Nagar,2,31.0
Bangalore,C V Raman Nagar,3,37.0
Bangalore,CQAL Layout,3,32.0
Bangalore,Cambridge Layout,3,156.5
Bangalore,Canara bank Layout,2,23.0
Bangalore,Chamrajpet,1,30.0
Bangalore,Chamundeshwari Layout,2,158.0
Bangalore,Chandapura,1,18.0
Bangalore,Chandapura,2,21.0
Bangalore,Chandapura,3,30.0
Bangalore,Channasandra,3,47.0
Bangalore,Channasandra,4,22.0
Bangalore,Channasandra Main Road,1,23.0
Bangalore,Chennammana Kere,2,10.0
Bangalore,Chikkabanavara,2,22.5
Bangalore,Chikkabellandur,4,21.0
Bangalore,Chikkabidarakallu,2,11.0
Bangalore,Chikkagubbi Village,4,51.0
Bangalore,Chikkajala,1,25.0
Bangalore,Chikkakannalli,2,55.0
Bangalore,Chikkalasandra,2,20.0
Bangalore,Chikkanna Layout,2,35.0
Bangalore,Chikku Lakshmaiah Layout,2,29.0
Bangalore,Chinnapanna Halli,1,38.0
Bangalore,Chokkanahalli,3,14.0
Bangalore,Choodasandra,1,25.0
Bangalore,Choodasandra,2,29.0
Bangalore,Chowdeshwari Layout Marathahalli Village,2,27.0
Bangalore,Chunchanakuppe,5,11.0
Bangalore,Cleveland Town,3,44.5
Bangalore,Coffee Board layout,2,13.0
Bangalore,Cooke Town,2,43.0
Bangalore,Cooke Town,3,36.0
Bangalore,Cox Town,2,41.0
Bangalore,Cox Town,3,36.5
Bangalore,Cunningham Road,3,73.0
Bangalore,D Group Layout,2,23.0
Bangalore,D Group Layout,4,17.0
Bangalore,Dasarahalli,2,38.0
Bangalore,Dasarahalli,4,38.0
Bangalore,Dasarahalli Main Road,2,19.0
Bangalore,Dasarahalli Main Road,3,31.5
Bangalore,Deepanjali Nagar,1,16.0
Bangalore,Defence Enclave,3,27.5
Bangalore,Devanahalli,2,25.5
