city,locality,locality_market_rate
Bangalore,Devarachikkana Halli,19.0
Bangalore,Devasthanagalu,33.0
Bangalore,Devinagar,20.0
Bangalore,Doddaballapur Main Road,20.0
Bangalore,Doddakallasandra,33.0
Bangalore,Doddakannelli,36.0
Bangalore,Doddanagamangala,16.0
Bangalore,Doddanekundi,32.0
Bangalore,Doddanekundi Main Road,43.0
Bangalore,Doddathoguru,22.0
Bangalore,Dollar Scheme,25.0
Bangalore,Dollars Colony,53.5
Bangalore,Domlur,35.0
Bangalore,Doopanahalli,37.0
Bangalore,Dooravani Nagar,13.5
Bangalore,ECC Road,41.5
Bangalore,EPIP Zone,56.0
Bangalore,Ejipura,25.5
Bangalore,Electronic City,24.0
Bangalore,Electronic City Phase 2,25.0
Bangalore,Electronics City Phase 1,31.5
Bangalore,Elus Road,39.0
Bangalore,Ex Service Men Colony,11.0
Bangalore,F Block Sahakar Nagar,27.0
Bangalore,Frazer Town,24.0
Bangalore,G Block Sahakar Nagar,64.0
Bangalore,GM Palya,25.0
Bangalore,Gandhi Bazar,35.0
Bangalore,Ganga Nagar Layout,163.0
Bangalore,Ganganagar,15.0
Bangalore,Gattahalli,25.0
Bangalore,Gollarahatti,6.0
Bangalore,Gopasandra Sarjapura Road,80.0
Bangalore,Gottigere,15.0
Bangalore,Govindpura,22.0
Bangalore,Green Woods layout,15.0
Bangalore,Gruha Lakshmi Layout,18.0
Bangalore,Gubbalala,29.0
Bangalore,Gummanahalli,31.0
Bangalore,Gunjur,34.5
Bangalore,Gunjur Balagere Road,30.5
Bangalore,HAL 3rd Stage,33.0
Bangalore,HAL Old Airport Road,58.0
Bangalore,HBR Layout,29.5
Bangalore,HBR Layout Block 2,17.0
Bangalore,HBR Layout Block 3,24.0
Bangalore,HMT Layout Vidyaranyapura,30.0
Bangalore,HRBR Layout,34.0
Bangalore,HRBR Layout Block 1,30.0
Bangalore,HSR Layout,38.0
Bangalore,Hadosiddapura,38.5
Bangalore,Halanayakanahalli,35.0
Bangalore,Halasuru,59.0
Bangalore,Hanumanthappa Layout Sivanchetti Gardens,77.0
Bangalore,Haralur,38.0
Bangalore,Haralur Main Road,35.0
Bangalore,Harlur,34.5
Bangalore,Harsha Layout,11.0
Bangalore,Hebbal,44.0
Bangalore,Hebbal Kempapura,23.0
Bangalore,Hegde Nagar,28.5
Bangalore,Hennur,31.5
Bangalore,Hennur Bagalur Main Road,42.0
Bangalore,Hennur Bande Road,19.0
Bangalore,Hennur Main Road,34.0
Bangalore,Hesarghatta Road,12.0
Bangalore,Holiday Village Road,25.0
Bangalore,Hongasandra,15.0
Bangalore,Hoodi,30.0
Bangalore,Horamavu,23.5
Bangalore,Horamavu Main Road,30.0
Bangalore,Hosa Road,32.5
Bangalore,Hosakerehalli,45.0
Bangalore,Hoskote,17.0
Bangalore,Hoskote Road,18.0
Bangalore,Hosur Road,44.5
Bangalore,Hoysalanagar,30.0
Bangalore,Hulimavu,27.0
Bangalore,Hunasamaranahalli,52.5
Bangalore,Huskur,23.0
Bangalore,Hutchins Road,35.0
Bangalore,Huvinayakanahalli,24.0
Bangalore,ISRO Layout,21.0
Bangalore,ITI Layout,48.0
Bangalore,ITPL,40.0
Bangalore,ITPL Main Road,25.0
Bangalore,IVC Road,51.0
Bangalore,Iblur Village,43.0
Bangalore,Immadihalli,20.0
Bangalore,Indira Nagar,46.5
Bangalore,Indira nagar Stage 1,58.5
Bangalore,Indira nagar Stage 2,56.0
Bangalore,Infantry Road,30.0
Bangalore,Ittamadu Main Road,16.0
Bangalore,JC Nagar-Kurubarahalli,21.0
Bangalore,JP Nagar,27.0
Bangalore,Jakkasandra Extension,18.0
Bangalore,Jakkur,37.5
Bangalore,Jakkuru Main Road,33.0
Bangalore,Jalahalli,26.0
Bangalore,Jalahalli East,24.0
Bangalore,Jalahalli West,30.0
Bangalore,Jayamahal Main Road,47.0
Bangalore,Jayanagar,41.5
Bangalore,Jayanagar Housing Society Layout,29.0
Bangalore,Jeevan Bima Nagar,41.0
Bangalore,Jigani,15.5
Bangalore,Jivanahalli,20.0
Bangalore,Judicial Layout,38.5
Bangalore,Junnasandra,35.0
Bangalore,K Channasandra,24.0
Bangalore,KR Puram,27.5
Bangalore,Kada Agrahara,21.0
Bangalore,Kadabagere,9.0
Bangalore,Kadubeesanahalli,34.0
Bangalore,Kadugodi,28.0
Bangalore,Kadugondanahalli,31.0
Bangalore,Kaggadasapura,24.0
Bangalore,Kaikondrahalli,36.0
Bangalore,Kalappa Layout,18.0
Bangalore,Kalena Agrahara,30.5
Bangalore,Kalidasa Layout,19.0
Bangalore,Kalyan Nagar,26.0
Bangalore,Kamakshipalya,11.0
Bangalore,Kammagondahalli,11.0
Bangalore,Kammanahalli,34.5
Bangalore,Kammasandra,13.0
Bangalore,Kanaka Nagar,50.0
Bangalore,Kanakapura,26.0
Bangalore,Kanakapura Road,32.0
Bangalore,Kannamangala,31.0
Bangalore,Kannuru,30.0
Bangalore,Kariobanahalli,17.0
Bangalore,Kariyammana Agrahara,38.0
Bangalore,Karthik Nagar,50.0
Bangalore,Kasavanahalli,33.0
Bangalore,Kasturi Nagar,29.0
Bangalore,Kattigenahalli,21.0
Bangalore,Kaval Byrasandra,22.0
Bangalore,Kaveri Nagar,22.0
Bangalore,Kempapura,49.0
Bangalore,Kempapura Agrahara,13.0
Bangalore,Kenchenhalli,20.0
Bangalore,Kengeri,23.0
Bangalore,Kengeri Main Road,20.0
Bangalore,Kengeri Satellite Town,15.0
Bangalore,Kithaganur Main Road,16.0
Bangalore,Kodathi,23.0
Bangalore,Kodichikknahalli,26.0
Bangalore,Kodigehalli,26.5
Bangalore,Kodigenahalli,20.0
Bangalore,Kodihalli,49.5
Bangalore,Kodipalya,50.0
Bangalore,Kogilu,30.0
Bangalore,Kogilu Main Road,32.0
Bangalore,Konanakunte,30.0
Bangalore,Konena Agrahara Murgesh Pallya,45.0
Bangalore,Koppa,8.0
Bangalore,Koramangala,50.0
Bangalore,Koramangala 80 Feet Road,52.0
Bangalore,Koramangala Block 4,46.5
Bangalore,Kothnoor Dinne,29.0
Bangalore,Kothnur,20.0
Bangalore,Kudlu,31.0
Bangalore,Kudlu Gate,38.0
Bangalore,Kumara park West,30.0
Bangalore,Kumaraswamy Layout,20.0
Bangalore,Kumbalgodu,23.0
Bangalore,Kundalahalli,37.5
Bangalore,Kundalahalli Colony,26.0
Bangalore,LBS Nagar,20.0
Bangalore,Laggere,18.0
Bangalore,Lakkasandra Extension,36.0
Bangalore,Lakshminarayana Pura,60.0
Bangalore,Lakshmipura,15.0
Bangalore,Lavakusha Nagar,33.0
Bangalore,Lavelle Road,135.0
Bangalore,Laxmi Sagar Layout,41.0
Bangalore,Lingarajapuram,22.0
Bangalore,MC Layout,24.0
Bangalore,MCECHS Layout,39.0
Bangalore,MKS Layout,25.0
Bangalore,MS Palya,16.0
Bangalore,MS Ramaiah City Layout,21.0
Bangalore,Madavara,11.0
Bangalore,Madhuranagara,20.0
Bangalore,Mahadevapura,39.5
Bangalore,Mahadevapura Layout,28.0
Bangalore,Mahalakshmipuram Layout,32.5
Bangalore,Mahatma Gandhi Nagar,59.5
Bangalore,Mahatma Gandhi Road,60.0
Bangalore,Maithri Layout,27.0
Bangalore,Mallasandra Village,38.0
Bangalore,Mallathahalli,24.0
Bangalore,Malleshpalya,14.5
Bangalore,Malleshpalya Main Road,20.0
Bangalore,Malleshwaram,31.0
Bangalore,Mangammanapalya,20.0
Bangalore,ManganaHalli,23.0
Bangalore,Manjunatha Layout Munnekollal,22.0
Bangalore,Manjunatha Nagar Kalkere,25.0
